event_type,timestamp,node_id,node_addr,packet_id,source,dest,data_value,next_hop,routing_option,previous_hop
SEND,622.587893,44,"[3,1]",44_12,"[3,1]","[33,1]",20.912887,,,
ROUTE,622.587893,44,"[3,1]",44_12,"[3,1]","[33,1]",20.912887,"[3,254]",Up Tree,44
SEND,693.525523,1,"[12,3]",1_0,"[12,3]","[25,1]",29.358192,,,
ROUTE,693.525523,1,"[12,3]",1_0,"[12,3]","[25,1]",29.358192,"[12,254]",Up Tree,1
ROUTE,693.525618,2,"[12,2]",1_0,"[12,3]","[25,1]",29.358192,"[6,3]",Up Tree,2
ROUTE,693.525698,13,"[6,3]",1_0,"[12,3]","[25,1]",29.358192,"[6,254]",Cluster Routing Router Gateway,2
ROUTE,693.525798,22,"[6,1]",1_0,"[12,3]","[25,1]",29.358192,"[1,4]",Up Tree,22
ROUTE,693.525893,23,"[1,4]",1_0,"[12,3]","[25,1]",29.358192,"[1,254]",Cluster Routing Router Gateway,22
ROUTE,693.525981,24,"[1,1]",1_0,"[12,3]","[25,1]",29.358192,"[1,3]",Down Tree,24
ROUTE,693.526094,26,"[1,3]",1_0,"[12,3]","[25,1]",29.358192,"[2,1]",Cluster Routing Router Gateway 2,24
ROUTE,693.526211,37,"[2,1]",1_0,"[12,3]","[25,1]",29.358192,"[2,5]",Down Tree,37
ROUTE,693.526308,38,"[2,5]",1_0,"[12,3]","[25,1]",29.358192,"[10,1]",Cluster Routing Router Gateway 2,37
ROUTE,693.526411,48,"[10,1]",1_0,"[12,3]","[25,1]",29.358192,"[10,3]",Down Tree,48
ROUTE,693.526498,59,"[10,3]",1_0,"[12,3]","[25,1]",29.358192,"[17,1]",Cluster Routing Router Gateway 2,48
ROUTE,693.526572,69,"[17,1]",1_0,"[12,3]","[25,1]",29.358192,"[25,254]",Cluster Routing Cluster,69
ROUTE,693.526690,79,"[17,4]",1_0,"[12,3]","[25,1]",29.358192,"[25,1]",Cluster Routing Cluster,79
RECEIVE,693.526807,98,"[25,1]",1_0,"[12,3]","[25,1]",29.358192,,,79
SEND,697.652008,36,"[3,8]",36_2,"[3,8]","[3,1]",33.964672,,,
ROUTE,697.652008,36,"[3,8]",36_2,"[3,8]","[3,1]",33.964672,"[3,2]",Cluster Routing Cluster,36
SEND,704.330119,10,"[18,2]",10_0,"[18,2]","[3,2]",46.366296,,,
SEND,726.589419,8,"[5,4]",8_0,"[5,4]","[6,7]",47.509376,,,
ROUTE,726.589419,8,"[5,4]",8_0,"[5,4]","[6,7]",47.509376,"[5,254]",Up Tree,8
ROUTE,726.589468,18,"[5,2]",8_0,"[5,4]","[6,7]",47.509376,"[2,4]",Up Tree,18
ROUTE,726.589552,28,"[2,4]",8_0,"[5,4]","[6,7]",47.509376,"[2,254]",Cluster Routing Router Gateway,18
ROUTE,726.589666,37,"[2,1]",8_0,"[5,4]","[6,7]",47.509376,"[1,3]",Up Tree,37
ROUTE,726.589783,26,"[1,3]",8_0,"[5,4]","[6,7]",47.509376,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,726.589895,24,"[1,1]",8_0,"[5,4]","[6,7]",47.509376,"[1,4]",Cluster Routing Cluster,24
ROUTE,726.589984,23,"[1,4]",8_0,"[5,4]","[6,7]",47.509376,"[6,7]",Cluster Routing Cluster,23
RECEIVE,726.590096,12,"[6,7]",8_0,"[5,4]","[6,7]",47.509376,,,23
SEND,764.073535,51,"[14,3]",51_0,"[14,3]","[29,3]",23.606624,,,
ROUTE,764.073535,51,"[14,3]",51_0,"[14,3]","[29,3]",23.606624,"[14,254]",Up Tree,51
ROUTE,764.073616,40,"[14,2]",51_0,"[14,3]","[29,3]",23.606624,"[6,4]",Up Tree,40
ROUTE,764.073708,31,"[6,4]",51_0,"[14,3]","[29,3]",23.606624,"[6,254]",Cluster Routing Router Gateway,40
ROUTE,764.073807,22,"[6,1]",51_0,"[14,3]","[29,3]",23.606624,"[1,4]",Up Tree,22
ROUTE,764.073901,23,"[1,4]",51_0,"[14,3]","[29,3]",23.606624,"[1,254]",Cluster Routing Router Gateway,22
ROUTE,764.073990,24,"[1,1]",51_0,"[14,3]","[29,3]",23.606624,"[1,3]",Down Tree,24
ROUTE,764.074102,26,"[1,3]",51_0,"[14,3]","[29,3]",23.606624,"[2,1]",Cluster Routing Router Gateway 2,24
ROUTE,764.074219,37,"[2,1]",51_0,"[14,3]","[29,3]",23.606624,"[2,5]",Down Tree,37
ROUTE,764.074317,38,"[2,5]",51_0,"[14,3]","[29,3]",23.606624,"[10,1]",Cluster Routing Router Gateway 2,37
ROUTE,764.074420,48,"[10,1]",51_0,"[14,3]","[29,3]",23.606624,"[10,3]",Down Tree,48
ROUTE,764.074507,59,"[10,3]",51_0,"[14,3]","[29,3]",23.606624,"[17,1]",Cluster Routing Router Gateway 2,48
ROUTE,764.074580,69,"[17,1]",51_0,"[14,3]","[29,3]",23.606624,"[17,3]",Down Tree,69
ROUTE,764.074696,78,"[17,3]",51_0,"[14,3]","[29,3]",23.606624,"[24,3]",Cluster Routing Cluster,78
ROUTE,764.074796,87,"[24,3]",51_0,"[14,3]","[29,3]",23.606624,"[29,3]",Cluster Routing Cluster,87
RECEIVE,764.074886,86,"[29,3]",51_0,"[14,3]","[29,3]",23.606624,,,87
SEND,774.765962,17,"[5,3]",17_3,"[5,3]","[31,2]",34.562436,,,
SEND,779.608117,45,"[3,2]",45_5,"[3,2]","[18,2]",44.085167,,,
ROUTE,779.608117,45,"[3,2]",45_5,"[3,2]","[18,2]",44.085167,"[3,254]",Up Tree,45
SEND,801.332763,58,"[10,5]",58_0,"[10,5]","[6,7]",20.156429,,,
ROUTE,801.332763,58,"[10,5]",58_0,"[10,5]","[6,7]",20.156429,"[10,254]",Up Tree,58
ROUTE,801.332822,48,"[10,1]",58_0,"[10,5]","[6,7]",20.156429,"[2,5]",Up Tree,48
ROUTE,801.332924,38,"[2,5]",58_0,"[10,5]","[6,7]",20.156429,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,801.333022,37,"[2,1]",58_0,"[10,5]","[6,7]",20.156429,"[1,3]",Up Tree,37
ROUTE,801.333139,26,"[1,3]",58_0,"[10,5]","[6,7]",20.156429,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,801.333251,24,"[1,1]",58_0,"[10,5]","[6,7]",20.156429,"[1,4]",Cluster Routing Cluster,24
ROUTE,801.333340,23,"[1,4]",58_0,"[10,5]","[6,7]",20.156429,"[6,7]",Cluster Routing Cluster,23
RECEIVE,801.333451,12,"[6,7]",58_0,"[10,5]","[6,7]",20.156429,,,23
SEND,808.526902,89,"[24,2]",89_0,"[24,2]","[5,4]",15.209075,,,
ROUTE,808.526902,89,"[24,2]",89_0,"[24,2]","[5,4]",15.209075,"[24,254]",Up Tree,89
ROUTE,808.527021,78,"[17,3]",89_0,"[24,2]","[5,4]",15.209075,"[17,254]",Up Tree,78
ROUTE,808.527137,69,"[17,1]",89_0,"[24,2]","[5,4]",15.209075,"[10,3]",Up Tree,69
ROUTE,808.527210,59,"[10,3]",89_0,"[24,2]","[5,4]",15.209075,"[10,254]",Cluster Routing Router Gateway,69
ROUTE,808.527297,48,"[10,1]",89_0,"[24,2]","[5,4]",15.209075,"[2,5]",Up Tree,48
ROUTE,808.527400,38,"[2,5]",89_0,"[24,2]","[5,4]",15.209075,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,808.527497,37,"[2,1]",89_0,"[24,2]","[5,4]",15.209075,"[2,4]",Down Tree,37
ROUTE,808.527611,28,"[2,4]",89_0,"[24,2]","[5,4]",15.209075,"[5,1]",Cluster Routing Cluster,28
SEND,808.736413,15,"[19,2]",15_0,"[19,2]","[10,5]",36.333161,,,
SEND,809.401087,49,"[10,2]",49_0,"[10,2]","[6,7]",21.501221,,,
ROUTE,809.401087,49,"[10,2]",49_0,"[10,2]","[6,7]",21.501221,"[10,254]",Up Tree,49
ROUTE,809.401144,48,"[10,1]",49_0,"[10,2]","[6,7]",21.501221,"[2,5]",Up Tree,48
ROUTE,809.401246,38,"[2,5]",49_0,"[10,2]","[6,7]",21.501221,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,809.401344,37,"[2,1]",49_0,"[10,2]","[6,7]",21.501221,"[1,3]",Up Tree,37
ROUTE,809.401461,26,"[1,3]",49_0,"[10,2]","[6,7]",21.501221,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,809.401573,24,"[1,1]",49_0,"[10,2]","[6,7]",21.501221,"[1,4]",Cluster Routing Cluster,24
ROUTE,809.401662,23,"[1,4]",49_0,"[10,2]","[6,7]",21.501221,"[6,7]",Cluster Routing Cluster,23
RECEIVE,809.401774,12,"[6,7]",49_0,"[10,2]","[6,7]",21.501221,,,23
SEND,822.494368,75,"[31,3]",75_0,"[31,3]","[3,10]",11.657832,,,
ROUTE,822.494368,75,"[31,3]",75_0,"[31,3]","[3,10]",11.657832,"[31,254]",Up Tree,75
ROUTE,822.494412,76,"[31,1]",75_0,"[31,3]","[3,10]",11.657832,"[24,5]",Up Tree,76
ROUTE,822.494502,77,"[24,5]",75_0,"[31,3]","[3,10]",11.657832,"[24,254]",Cluster Routing Router Gateway,76
ROUTE,822.494583,78,"[17,3]",75_0,"[31,3]","[3,10]",11.657832,"[17,254]",Up Tree,78
ROUTE,822.494698,69,"[17,1]",75_0,"[31,3]","[3,10]",11.657832,"[10,3]",Up Tree,69
ROUTE,822.494772,59,"[10,3]",75_0,"[31,3]","[3,10]",11.657832,"[10,254]",Cluster Routing Router Gateway,69
ROUTE,822.494859,48,"[10,1]",75_0,"[31,3]","[3,10]",11.657832,"[2,5]",Up Tree,48
ROUTE,822.494962,38,"[2,5]",75_0,"[31,3]","[3,10]",11.657832,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,822.495059,37,"[2,1]",75_0,"[31,3]","[3,10]",11.657832,"[1,3]",Up Tree,37
ROUTE,822.495176,26,"[1,3]",75_0,"[31,3]","[3,10]",11.657832,"[3,10]",Cluster Routing Cluster,26
SEND,836.390089,33,"[6,6]",33_0,"[6,6]","[16,4]",25.586657,,,
ROUTE,836.390089,33,"[6,6]",33_0,"[6,6]","[16,4]",25.586657,"[16,4]",Cluster Routing Cluster,33
RECEIVE,836.390169,42,"[16,4]",33_0,"[6,6]","[16,4]",25.586657,,,33
SEND,849.884812,29,"[10,2]",29_0,"[10,2]","[4,4]",41.521787,,,
SEND,851.843994,85,"[31,2]",85_0,"[31,2]","[14,1]",39.257782,,,
ROUTE,851.843994,85,"[31,2]",85_0,"[31,2]","[14,1]",39.257782,"[31,254]",Up Tree,85
ROUTE,851.844099,76,"[31,1]",85_0,"[31,2]","[14,1]",39.257782,"[24,5]",Up Tree,76
ROUTE,851.844190,77,"[24,5]",85_0,"[31,2]","[14,1]",39.257782,"[24,254]",Cluster Routing Router Gateway,76
ROUTE,851.844270,78,"[17,3]",85_0,"[31,2]","[14,1]",39.257782,"[17,254]",Up Tree,78
ROUTE,851.844386,69,"[17,1]",85_0,"[31,2]","[14,1]",39.257782,"[10,3]",Up Tree,69
ROUTE,851.844459,59,"[10,3]",85_0,"[31,2]","[14,1]",39.257782,"[10,254]",Cluster Routing Router Gateway,69
ROUTE,851.844546,48,"[10,1]",85_0,"[31,2]","[14,1]",39.257782,"[2,5]",Up Tree,48
ROUTE,851.844649,38,"[2,5]",85_0,"[31,2]","[14,1]",39.257782,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,851.844747,37,"[2,1]",85_0,"[31,2]","[14,1]",39.257782,"[1,3]",Up Tree,37
ROUTE,851.844864,26,"[1,3]",85_0,"[31,2]","[14,1]",39.257782,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,851.844976,24,"[1,1]",85_0,"[31,2]","[14,1]",39.257782,"[1,4]",Down Tree,24
ROUTE,851.845065,23,"[1,4]",85_0,"[31,2]","[14,1]",39.257782,"[6,5]",Cluster Routing Cluster,23
ROUTE,851.845150,32,"[6,5]",85_0,"[31,2]","[14,1]",39.257782,"[14,1]",Cluster Routing Cluster,32
RECEIVE,851.845264,41,"[14,1]",85_0,"[31,2]","[14,1]",39.257782,,,32
SEND,852.942459,55,"[4,4]",55_0,"[4,4]","[10,5]",40.055487,,,
ROUTE,852.942459,55,"[4,4]",55_0,"[4,4]","[10,5]",40.055487,"[4,254]",Up Tree,55
ROUTE,852.942539,56,"[4,3]",55_0,"[4,4]","[10,5]",40.055487,"[2,3]",Cluster Routing Cluster,56
ROUTE,852.942631,47,"[2,3]",55_0,"[4,4]","[10,5]",40.055487,"[10,5]",Cluster Routing Cluster,47
RECEIVE,852.942706,58,"[10,5]",55_0,"[4,4]","[10,5]",40.055487,,,47
SEND,903.626999,75,"[31,3]",75_1,"[31,3]","[12,3]",16.973225,,,
ROUTE,903.626999,75,"[31,3]",75_1,"[31,3]","[12,3]",16.973225,"[31,254]",Up Tree,75
ROUTE,903.627043,76,"[31,1]",75_1,"[31,3]","[12,3]",16.973225,"[24,5]",Up Tree,76
ROUTE,903.627133,77,"[24,5]",75_1,"[31,3]","[12,3]",16.973225,"[24,254]",Cluster Routing Router Gateway,76
ROUTE,903.627214,78,"[17,3]",75_1,"[31,3]","[12,3]",16.973225,"[17,254]",Up Tree,78
ROUTE,903.627330,69,"[17,1]",75_1,"[31,3]","[12,3]",16.973225,"[10,3]",Up Tree,69
ROUTE,903.627403,59,"[10,3]",75_1,"[31,3]","[12,3]",16.973225,"[10,254]",Cluster Routing Router Gateway,69
ROUTE,903.627490,48,"[10,1]",75_1,"[31,3]","[12,3]",16.973225,"[2,5]",Up Tree,48
ROUTE,903.627593,38,"[2,5]",75_1,"[31,3]","[12,3]",16.973225,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,903.627690,37,"[2,1]",75_1,"[31,3]","[12,3]",16.973225,"[1,3]",Up Tree,37
ROUTE,903.627808,26,"[1,3]",75_1,"[31,3]","[12,3]",16.973225,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,903.627920,24,"[1,1]",75_1,"[31,3]","[12,3]",16.973225,"[1,4]",Down Tree,24
ROUTE,903.628009,23,"[1,4]",75_1,"[31,3]","[12,3]",16.973225,"[6,7]",Cluster Routing Cluster,23
SEND,905.606721,57,"[4,2]",57_12,"[4,2]","[16,4]",19.711163,,,
SEND,906.807163,67,"[24,4]",67_0,"[24,4]","[10,2]",14.288057,,,
ROUTE,906.807163,67,"[24,4]",67_0,"[24,4]","[10,2]",14.288057,"[24,254]",Up Tree,67
ROUTE,906.807262,78,"[17,3]",67_0,"[24,4]","[10,2]",14.288057,"[17,254]",Up Tree,78
ROUTE,906.807378,69,"[17,1]",67_0,"[24,4]","[10,2]",14.288057,"[10,3]",Cluster Routing Cluster,69
ROUTE,906.807451,59,"[10,3]",67_0,"[24,4]","[10,2]",14.288057,"[10,2]",Cluster Routing Cluster,59
RECEIVE,906.807503,49,"[10,2]",67_0,"[24,4]","[10,2]",14.288057,,,59
SEND,944.635530,46,"[2,2]",46_6,"[2,2]","[12,3]",37.976808,,,
ROUTE,944.635530,46,"[2,2]",46_6,"[2,2]","[12,3]",37.976808,"[2,254]",Up Tree,46
ROUTE,944.635597,37,"[2,1]",46_6,"[2,2]","[12,3]",37.976808,"[1,3]",Up Tree,37
ROUTE,944.635714,26,"[1,3]",46_6,"[2,2]","[12,3]",37.976808,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,944.635827,24,"[1,1]",46_6,"[2,2]","[12,3]",37.976808,"[1,4]",Down Tree,24
ROUTE,944.635915,23,"[1,4]",46_6,"[2,2]","[12,3]",37.976808,"[6,7]",Cluster Routing Cluster,23
SEND,951.496785,95,"[29,3]",95_0,"[29,3]","[17,2]",42.664495,,,
ROUTE,951.496785,95,"[29,3]",95_0,"[29,3]","[17,2]",42.664495,"[29,254]",Up Tree,95
ROUTE,951.496878,96,"[29,2]",95_0,"[29,3]","[17,2]",42.664495,"[24,3]",Up Tree,96
ROUTE,951.496997,87,"[24,3]",95_0,"[29,3]","[17,2]",42.664495,"[24,254]",Cluster Routing Cluster,87
ROUTE,951.497097,78,"[17,3]",95_0,"[29,3]","[17,2]",42.664495,"[17,2]",Cluster Routing Cluster,78
RECEIVE,951.497149,68,"[17,2]",95_0,"[29,3]","[17,2]",42.664495,,,78
SEND,956.109171,90,"[32,1]",90_0,"[32,1]","[23,1]",21.015213,,,
ROUTE,956.109171,90,"[32,1]",90_0,"[32,1]","[23,1]",21.015213,"[32,254]",Up Tree,90
ROUTE,956.109268,80,"[26,2]",90_0,"[32,1]","[23,1]",21.015213,"[26,254]",Up Tree,80
ROUTE,956.109337,70,"[26,1]",90_0,"[32,1]","[23,1]",21.015213,"[21,1]",Up Tree,70
ROUTE,956.109405,60,"[21,1]",90_0,"[32,1]","[23,1]",21.015213,"[21,254]",Cluster Routing Router Gateway,70
ROUTE,956.109466,50,"[14,4]",90_0,"[32,1]","[23,1]",21.015213,"[14,254]",Up Tree,50
ROUTE,956.109564,40,"[14,2]",90_0,"[32,1]","[23,1]",21.015213,"[6,4]",Up Tree,40
ROUTE,956.109657,31,"[6,4]",90_0,"[32,1]","[23,1]",21.015213,"[6,254]",Cluster Routing Router Gateway,40
ROUTE,956.109756,22,"[6,1]",90_0,"[32,1]","[23,1]",21.015213,"[6,5]",Down Tree,22
ROUTE,956.109822,32,"[6,5]",90_0,"[32,1]","[23,1]",21.015213,"[16,1]",Cluster Routing Router Gateway 2,22
ROUTE,956.109939,43,"[16,1]",90_0,"[32,1]","[23,1]",21.015213,"[16,2]",Cluster Routing Cluster,43
SEND,966.202455,44,"[3,1]",44_13,"[3,1]","[6,6]",29.229566,,,
ROUTE,966.202455,44,"[3,1]",44_13,"[3,1]","[6,6]",29.229566,"[6,6]",Cluster Routing Cluster,44
RECEIVE,966.202565,33,"[6,6]",44_13,"[3,1]","[6,6]",29.229566,,,44
SEND,978.250388,20,"[11,1]",20_2,"[11,1]","[10,4]",20.501017,,,
SEND,981.929002,34,"[3,10]",34_0,"[3,10]","[3,2]",40.994239,,,
ROUTE,981.929002,34,"[3,10]",34_0,"[3,10]","[3,2]",40.994239,"[3,2]",Cluster Routing Cluster,34
RECEIVE,981.929110,45,"[3,2]",34_0,"[3,10]","[3,2]",40.994239,,,34
SEND,984.125442,66,"[4,2]",66_27,"[4,2]","[5,3]",42.815612,,,
ROUTE,984.125442,66,"[4,2]",66_27,"[4,2]","[5,3]",42.815612,"[4,254]",Up Tree,66
ROUTE,984.125517,56,"[4,3]",66_27,"[4,2]","[5,3]",42.815612,"[2,3]",Up Tree,56
ROUTE,984.125608,47,"[2,3]",66_27,"[4,2]","[5,3]",42.815612,"[2,254]",Cluster Routing Router Gateway,56
ROUTE,984.125700,37,"[2,1]",66_27,"[4,2]","[5,3]",42.815612,"[2,4]",Cluster Routing Cluster,37
ROUTE,984.125814,28,"[2,4]",66_27,"[4,2]","[5,3]",42.815612,"[5,3]",Cluster Routing Cluster,28
RECEIVE,984.125894,17,"[5,3]",66_27,"[4,2]","[5,3]",42.815612,,,28
SEND,993.422654,73,"[28,1]",73_0,"[28,1]","[14,1]",41.348778,,,
SEND,995.566877,36,"[3,8]",36_3,"[3,8]","[12,1]",49.250733,,,
ROUTE,995.566877,36,"[3,8]",36_3,"[3,8]","[12,1]",49.250733,"[3,254]",Up Tree,36
SEND,1005.323949,10,"[18,2]",10_1,"[18,2]","[24,4]",17.083472,,,
SEND,1008.628559,10,"[18,2]",10_2,"[18,2]","[22,5]",26.510731,,,
SEND,1008.797145,53,"[16,2]",53_0,"[16,2]","[5,4]",33.579142,,,
ROUTE,1008.797145,53,"[16,2]",53_0,"[16,2]","[5,4]",33.579142,"[16,254]",Up Tree,53
ROUTE,1008.797242,43,"[16,1]",53_0,"[16,2]","[5,4]",33.579142,"[6,5]",Up Tree,43
ROUTE,1008.797359,32,"[6,5]",53_0,"[16,2]","[5,4]",33.579142,"[6,254]",Cluster Routing Router Gateway,43
ROUTE,1008.797425,22,"[6,1]",53_0,"[16,2]","[5,4]",33.579142,"[1,4]",Up Tree,22
ROUTE,1008.797520,23,"[1,4]",53_0,"[16,2]","[5,4]",33.579142,"[1,254]",Cluster Routing Router Gateway,22
ROUTE,1008.797608,24,"[1,1]",53_0,"[16,2]","[5,4]",33.579142,"[1,3]",Down Tree,24
ROUTE,1008.797721,26,"[1,3]",53_0,"[16,2]","[5,4]",33.579142,"[5,3]",Cluster Routing Cluster,26
SEND,1012.284416,39,"[10,4]",39_0,"[10,4]","[11,1]",45.218765,,,
ROUTE,1012.284416,39,"[10,4]",39_0,"[10,4]","[11,1]",45.218765,"[10,254]",Up Tree,39
ROUTE,1012.284510,48,"[10,1]",39_0,"[10,4]","[11,1]",45.218765,"[2,5]",Up Tree,48
ROUTE,1012.284613,38,"[2,5]",39_0,"[10,4]","[11,1]",45.218765,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,1012.284710,37,"[2,1]",39_0,"[10,4]","[11,1]",45.218765,"[1,3]",Up Tree,37
ROUTE,1012.284828,26,"[1,3]",39_0,"[10,4]","[11,1]",45.218765,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,1012.284940,24,"[1,1]",39_0,"[10,4]","[11,1]",45.218765,"[1,4]",Down Tree,24
ROUTE,1012.285029,23,"[1,4]",39_0,"[10,4]","[11,1]",45.218765,"[6,1]",Cluster Routing Router Gateway 2,24
ROUTE,1012.285123,22,"[6,1]",39_0,"[10,4]","[11,1]",45.218765,"[6,2]",Cluster Routing Cluster,22
ROUTE,1012.285199,21,"[6,2]",39_0,"[10,4]","[11,1]",45.218765,"[11,1]",Cluster Routing Cluster,21
RECEIVE,1012.285260,20,"[11,1]",39_0,"[10,4]","[11,1]",45.218765,,,21
SEND,1018.593189,27,"[2,6]",27_0,"[2,6]","[3,1]",28.296909,,,
ROUTE,1018.593189,27,"[2,6]",27_0,"[2,6]","[3,1]",28.296909,"[2,254]",Up Tree,27
ROUTE,1018.593261,37,"[2,1]",27_0,"[2,6]","[3,1]",28.296909,"[1,3]",Up Tree,37
ROUTE,1018.593378,26,"[1,3]",27_0,"[2,6]","[3,1]",28.296909,"[3,254]",Cluster Routing Cluster,26
ROUTE,1018.593488,35,"[2,2]",27_0,"[2,6]","[3,1]",28.296909,"[3,1]",Cluster Routing Cluster,35
RECEIVE,1018.593553,44,"[3,1]",27_0,"[2,6]","[3,1]",28.296909,,,35
SEND,1033.837893,25,"[3,9]",25_0,"[3,9]","[14,3]",48.867775,,,
ROUTE,1033.837893,25,"[3,9]",25_0,"[3,9]","[14,3]",48.867775,"[3,254]",Up Tree,25
SEND,1034.048041,63,"[23,1]",63_0,"[23,1]","[16,4]",28.683780,,,
ROUTE,1034.048041,63,"[23,1]",63_0,"[23,1]","[16,4]",28.683780,"[23,254]",Cluster Routing Cluster,63
ROUTE,1034.048137,52,"[16,3]",63_0,"[23,1]","[16,4]",28.683780,"[16,4]",Cluster Routing Cluster,52
RECEIVE,1034.048226,42,"[16,4]",63_0,"[23,1]","[16,4]",28.683780,,,52
SEND,1051.655281,8,"[5,4]",8_1,"[5,4]","[10,2]",11.909900,,,
ROUTE,1051.655281,8,"[5,4]",8_1,"[5,4]","[10,2]",11.909900,"[5,1]",Cluster Routing Cluster,8
SEND,1052.279961,51,"[14,3]",51_1,"[14,3]","[3,2]",24.915201,,,
ROUTE,1052.279961,51,"[14,3]",51_1,"[14,3]","[3,2]",24.915201,"[14,254]",Up Tree,51
ROUTE,1052.280041,40,"[14,2]",51_1,"[14,3]","[3,2]",24.915201,"[6,4]",Up Tree,40
ROUTE,1052.280133,31,"[6,4]",51_1,"[14,3]","[3,2]",24.915201,"[6,254]",Cluster Routing Router Gateway,40
ROUTE,1052.280232,22,"[6,1]",51_1,"[14,3]","[3,2]",24.915201,"[1,4]",Up Tree,22
ROUTE,1052.280326,23,"[1,4]",51_1,"[14,3]","[3,2]",24.915201,"[1,254]",Cluster Routing Router Gateway,22
ROUTE,1052.280415,24,"[1,1]",51_1,"[14,3]","[3,2]",24.915201,"[3,254]",Cluster Routing Cluster,24
ROUTE,1052.280522,35,"[2,2]",51_1,"[14,3]","[3,2]",24.915201,"[3,2]",Cluster Routing Cluster,35
RECEIVE,1052.280591,45,"[3,2]",51_1,"[14,3]","[3,2]",24.915201,,,35
SEND,1059.229466,12,"[6,7]",12_0,"[6,7]","[19,2]",20.608455,,,
ROUTE,1059.229466,12,"[6,7]",12_0,"[6,7]","[19,2]",20.608455,"[6,254]",Up Tree,12
ROUTE,1059.229533,22,"[6,1]",12_0,"[6,7]","[19,2]",20.608455,"[1,4]",Up Tree,22
ROUTE,1059.229627,23,"[1,4]",12_0,"[6,7]","[19,2]",20.608455,"[1,2]",Cluster Routing Cluster,23
ROUTE,1059.229732,14,"[1,2]",12_0,"[6,7]","[19,2]",20.608455,"[19,2]",Cluster Routing Cluster,14
RECEIVE,1059.229765,15,"[19,2]",12_0,"[6,7]","[19,2]",20.608455,,,14
SEND,1060.589264,6,"[15,1]",6_2,"[15,1]","[10,2]",10.011387,,,
SEND,1064.019482,19,"[5,1]",19_0,"[5,1]","[19,2]",19.487277,,,
SEND,1067.255384,92,"[34,1]",92_0,"[34,1]","[22,5]",22.516349,,,
ROUTE,1067.255384,92,"[34,1]",92_0,"[34,1]","[22,5]",22.516349,"[34,254]",Up Tree,92
ROUTE,1067.255469,82,"[27,2]",92_0,"[34,1]","[22,5]",22.516349,"[28,1]",Cluster Routing Cluster,82
SEND,1075.378187,1,"[12,3]",1_1,"[12,3]","[22,4]",49.609399,,,
ROUTE,1075.378187,1,"[12,3]",1_1,"[12,3]","[22,4]",49.609399,"[12,254]",Up Tree,1
ROUTE,1075.378282,2,"[12,2]",1_1,"[12,3]","[22,4]",49.609399,"[6,3]",Up Tree,2
ROUTE,1075.378362,13,"[6,3]",1_1,"[12,3]","[22,4]",49.609399,"[6,254]",Cluster Routing Router Gateway,2
ROUTE,1075.378463,22,"[6,1]",1_1,"[12,3]","[22,4]",49.609399,"[1,4]",Up Tree,22
ROUTE,1075.378557,23,"[1,4]",1_1,"[12,3]","[22,4]",49.609399,"[1,254]",Cluster Routing Router Gateway,22
ROUTE,1075.378646,24,"[1,1]",1_1,"[12,3]","[22,4]",49.609399,"[1,3]",Down Tree,24
ROUTE,1075.378758,26,"[1,3]",1_1,"[12,3]","[22,4]",49.609399,"[2,1]",Cluster Routing Router Gateway 2,24
ROUTE,1075.378875,37,"[2,1]",1_1,"[12,3]","[22,4]",49.609399,"[2,3]",Down Tree,37
ROUTE,1075.378967,47,"[2,3]",1_1,"[12,3]","[22,4]",49.609399,"[4,3]",Cluster Routing Router Gateway 2,37
ROUTE,1075.379058,56,"[4,3]",1_1,"[12,3]","[22,4]",49.609399,"[4,4]",Cluster Routing Cluster,56
SEND,1080.775227,68,"[17,2]",68_0,"[17,2]","[10,2]",23.931571,,,
ROUTE,1080.775227,68,"[17,2]",68_0,"[17,2]","[10,2]",23.931571,"[17,254]",Up Tree,68
ROUTE,1080.775335,69,"[17,1]",68_0,"[17,2]","[10,2]",23.931571,"[10,3]",Cluster Routing Cluster,69
ROUTE,1080.775409,59,"[10,3]",68_0,"[17,2]","[10,2]",23.931571,"[10,2]",Cluster Routing Cluster,59
RECEIVE,1080.775460,49,"[10,2]",68_0,"[17,2]","[10,2]",23.931571,,,59
SEND,1092.586063,33,"[6,6]",33_1,"[6,6]","[24,2]",42.329848,,,
ROUTE,1092.586063,33,"[6,6]",33_1,"[6,6]","[24,2]",42.329848,"[6,254]",Up Tree,33
ROUTE,1092.586179,22,"[6,1]",33_1,"[6,6]","[24,2]",42.329848,"[1,4]",Up Tree,22
ROUTE,1092.586273,23,"[1,4]",33_1,"[6,6]","[24,2]",42.329848,"[1,254]",Cluster Routing Router Gateway,22
