node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
13,24,160.753157,ROOT,,311.10005089492375
13,25,195.637690,REGISTERED,,291.0884260151386
13,15,195.528170,REGISTERED,,303.17908072342175
13,32,163.056324,ROUTER,,272.1147829512417
13,33,157.320985,REGISTERED,,280.5995803813838
13,34,188.720440,REGISTERED,,303.1790878446062
13,21,176.842384,ROUTER,,339.31150259279553
13,31,199.489792,ROUTER,,248.43913364198218
13,1,174.868436,REGISTERED,,279.3124896633702
13,5,189.369020,CLUSTER_HEAD,,304.19983914729113
14,24,50.894924,ROOT,0,4911.100050894923
14,23,104.960217,ROUTER,1,4899.310807693222
14,25,85.779457,REGISTERED,3,4991.088426015138
14,15,33.027504,REGISTERED,2,4903.179006205198
14,26,131.844884,ROUTER,,333.12300957116366
14,16,179.782546,CLUSTER_HEAD,,375.5394720219521
14,35,183.347035,CLUSTER_HEAD,,376.18948313934425
14,34,122.077401,REGISTERED,3,4903.179098723313
14,36,261.060586,REGISTERED,,356.95699229259355
14,22,210.377547,CLUSTER_HEAD,,319.3112631578212
14,32,190.494795,ROUTER,,272.1147829512417
14,33,227.242142,REGISTERED,,380.59960574688506
15,24,57.988162,ROOT,0,4911.100057988161
15,26,98.817380,ROUTER,1,4933.1230095711635
15,16,210.877341,CLUSTER_HEAD,,375.5394717737771
15,25,61.103669,REGISTERED,3,4991.088401339351
15,23,234.287406,ROUTER,,399.31081393170035
15,37,215.961319,CLUSTER_HEAD,,167.43410596425878
15,35,158.671247,CLUSTER_HEAD,,376.18948313934425
15,17,184.215768,REGISTERED,,312.82713142198287
15,36,262.071895,REGISTERED,,356.95699229259355
15,27,203.862279,REGISTERED,,379.0936175721531
15,34,123.088711,REGISTERED,3,4903.179099734622
15,44,196.415994,REGISTERED,,316.1901771050913
15,33,228.253452,REGISTERED,,380.59960574688506
16,26,64.273196,ROUTER,1,4933.1229750269795
16,17,66.602850,REGISTERED,4,4912.827131421983
16,36,112.523798,REGISTERED,3,4956.956965833207
16,27,89.290134,REGISTERED,3,4979.093601817389
16,18,199.432092,CLUSTER_HEAD,,307.43536712133755
16,25,94.003089,REGISTERED,3,4991.08843423877
16,24,160.637844,ROOT,,311.10006663475565
16,37,160.954147,CLUSTER_HEAD,,367.4340604843325
16,35,191.570666,CLUSTER_HEAD,,376.18948313934425
16,19,183.699202,REGISTERED,,307.43536761189966
16,45,241.279729,REGISTERED,,316.19017141777925
16,38,181.181128,ROUTER,,322.5299206592098
16,34,188.287927,REGISTERED,,303.1790709307495
16,4,225.158645,ROUTER,,402.3527253143565
17,28,79.987241,ROUTER,3,4987.434410164056
17,26,119.469256,ROUTER,1,4933.12303022304
17,18,60.401947,CLUSTER_HEAD,4,4907.435317381326
17,19,117.096352,REGISTERED,4,4907.4353676119
17,37,137.377718,CLUSTER_HEAD,,367.4340604843325
17,27,65.713705,REGISTERED,3,4979.093578240959
17,24,231.808409,ROOT,,311.1001123391533
17,35,229.591653,CLUSTER_HEAD,,276.18949569416355
17,36,179.126648,REGISTERED,,356.95696583320677
17,25,165.439031,REGISTERED,,291.08838620545635
17,29,158.859972,REGISTERED,,241.65719060321334
17,38,157.604699,ROUTER,,322.5299206592098
18,28,84.397682,ROUTER,3,4987.434414574498
18,19,72.279150,REGISTERED,4,4907.435322794698
18,37,181.805970,CLUSTER_HEAD,,367.4340604843325
18,29,114.624512,REGISTERED,4,4941.657226354993
18,27,110.141957,REGISTERED,3,4979.093622669211
18,26,179.871203,ROUTER,,233.12303022303988
18,38,202.032951,ROUTER,,322.5299206592098
18,39,216.289598,REGISTERED,,285.91776250826695
19,28,77.933849,ROUTER,3,4987.434408110665
19,29,49.011598,REGISTERED,4,4941.65716074208
19,37,191.719348,CLUSTER_HEAD,,267.4341026058184
19,27,140.017474,REGISTERED,,279.0935746108788
19,38,122.107622,ROUTER,3,4922.529950875837
19,39,150.676684,REGISTERED,,285.91776250826695
19,26,236.565608,ROUTER,,233.12303022303988
19,48,224.733040,CLUSTER_HEAD,,307.43527921136615
20,21,61.487188,ROUTER,3,4939.311451641836
20,31,117.999932,ROUTER,3,4948.439152671435
20,30,79.903652,CLUSTER_HEAD,4,4959.312198734912
20,22,137.325901,CLUSTER_HEAD,,319.31123847722125
20,32,177.336092,ROUTER,,272.1148132655678
20,41,199.435246,REGISTERED,,268.4399240883764
20,40,210.234775,CLUSTER_HEAD,,268.43994568743443
20,42,236.828785,REGISTERED,,316.19098648553563
20,2,186.482223,CLUSTER_HEAD,,261.20672303709915
21,22,75.838714,CLUSTER_HEAD,2,4919.311238477221
21,31,76.194710,ROUTER,3,4948.439110866213
21,30,88.290148,CLUSTER_HEAD,4,4959.312207121408
21,32,115.848904,ROUTER,3,4972.114813265567
21,23,170.009556,ROUTER,,299.31079690384706
21,41,229.837503,REGISTERED,,368.43995664166107
21,40,168.429553,CLUSTER_HEAD,,268.43994568743443
21,42,195.023563,REGISTERED,,316.19098648553563
21,43,232.533133,CLUSTER_HEAD,,276.19089481154083
22,23,94.170842,ROUTER,1,4899.3107969038465
22,24,182.867330,ROOT,,311.1000886964884
22,31,98.970479,ROUTER,3,4948.439133641982
22,30,164.128862,CLUSTER_HEAD,,259.31220712140913
22,32,66.559099,ROUTER,3,4972.114763975762
22,41,180.547697,REGISTERED,,368.43995664166107
22,40,191.205321,CLUSTER_HEAD,,268.43994568743443
22,33,116.604060,REGISTERED,3,4980.599617186204
22,43,189.062899,CLUSTER_HEAD,,376.1908505861515
22,1,178.372118,REGISTERED,,379.31247220466895
22,34,205.369537,REGISTERED,,303.1790878446062
22,42,217.799331,REGISTERED,,316.19098648553563
22,44,226.344026,REGISTERED,,316.1901484172253
23,24,88.696488,ROOT,0,4911.100088696488
23,32,85.534578,ROUTER,3,4972.114782951241
23,33,79.799240,REGISTERED,3,4980.599580381384
23,34,111.198695,REGISTERED,3,4903.179087844606
23,25,205.483533,REGISTERED,,391.08843452051957
23,3,213.777795,REGISTERED,,361.20669224691346
23,44,189.539205,REGISTERED,,216.1901484172254
23,43,152.258079,CLUSTER_HEAD,,376.1908505861515
23,42,178.794646,REGISTERED,,216.19096091675098
23,31,193.141320,ROUTER,,248.43913364198218
23,41,199.523177,REGISTERED,,368.43995664166107
23,35,160.873217,CLUSTER_HEAD,,276.18943524628935
23,1,224.014880,REGISTERED,,279.3125075425368
23,36,250.181880,REGISTERED,,356.95699229259355
24,26,112.339153,ROUTER,1,4933.123023092937
24,35,106.967833,CLUSTER_HEAD,2,4976.189492539599
24,37,229.483093,CLUSTER_HEAD,,167.43410596425878
24,25,66.634756,REGISTERED,3,4991.088406870436
24,34,71.186704,REGISTERED,3,4903.179047832615
24,36,210.169889,REGISTERED,,356.95699229259355
24,27,217.384052,REGISTERED,,179.09361757215316
24,44,138.427832,REGISTERED,3,4916.190177105091
24,45,175.846940,REGISTERED,,216.19011154095466
24,32,174.231067,ROUTER,,272.1147829512417
24,33,176.351445,REGISTERED,,380.59960574688506
25,26,45.969775,ROUTER,1,4933.122956723559
25,35,97.567577,CLUSTER_HEAD,2,4976.189483139344
25,36,101.038098,REGISTERED,3,4956.956954347506
25,34,94.284838,REGISTERED,3,4903.17907093075
25,37,163.113714,CLUSTER_HEAD,,167.43410596425878
25,27,193.420020,REGISTERED,,379.09360490917595
25,44,205.062587,REGISTERED,,316.1901771050913
25,45,229.794029,REGISTERED,,316.19017141777925
25,33,199.449579,REGISTERED,,380.59960574688506
25,46,181.326601,REGISTERED,,387.43427001127253
26,37,117.143939,CLUSTER_HEAD,2,4967.434105964258
26,35,110.122397,CLUSTER_HEAD,2,4976.189495694162
26,36,66.956620,REGISTERED,3,4956.956920266029
26,27,105.044899,REGISTERED,3,4979.093617572153
26,34,125.450270,REGISTERED,3,4903.179102096181
26,46,184.111423,REGISTERED,,187.43425669025356
26,28,230.929438,ROUTER,,187.43444396231502
26,38,196.935893,ROUTER,,322.5299206592098
26,44,175.016914,REGISTERED,,216.19010357177714
26,45,195.712551,REGISTERED,,316.19017141777925
26,47,208.894066,ROUTER,,193.4954977862454
26,33,230.615011,REGISTERED,,380.59960574688506
26,23,236.648965,ROUTER,,399.31081393170035
27,28,62.083624,ROUTER,3,4987.43439226044
27,37,71.664013,CLUSTER_HEAD,2,4967.434060484332
27,38,91.890994,ROUTER,3,4922.529920659209
27,36,92.381922,REGISTERED,3,4956.9569456913305
27,35,215.167295,CLUSTER_HEAD,,376.1894956941635
27,46,138.631496,REGISTERED,,187.43425669025356
27,47,163.414139,ROUTER,,287.43435582082503
27,29,224.766469,REGISTERED,,341.6572263549937
27,48,194.516412,CLUSTER_HEAD,,337.4361384213281
27,45,221.137852,REGISTERED,,316.19017141777925
27,6,183.045048,REGISTERED,,374.1992835537244
28,37,113.785499,CLUSTER_HEAD,2,4967.434102605818
28,38,64.416661,ROUTER,3,4922.529893184876
28,29,78.872731,REGISTERED,4,4941.657190603213
28,46,180.752982,REGISTERED,,187.43425669025356
28,47,205.535625,ROUTER,,287.43435582082503
28,36,175.244475,REGISTERED,,256.9569147683854
28,16,151.373759,CLUSTER_HEAD,,375.5394673089978
28,48,167.042078,CLUSTER_HEAD,,307.43527921136615
28,39,180.537817,REGISTERED,,285.91776250826695
