clusterhead_1,clusterhead_2,distance
69,83,492.787047
69,94,434.844966
69,96,331.574939
69,99,250.207571
70,71,94.971909
70,72,171.510187
70,76,434.665453
70,78,601.629061
70,79,661.933980
70,80,68.873140
70,81,108.191477
70,82,179.156442
70,83,247.661508
70,94,377.484152
70,96,493.793931
70,99,723.181036
71,72,76.687709
71,76,340.472049
71,78,507.793366
71,79,567.444060
71,80,120.515304
71,81,69.835896
71,82,98.226607
71,83,158.949190
71,94,289.949583
71,96,401.224515
71,99,628.621021
72,76,266.351363
72,78,433.962381
72,79,492.396911
72,80,186.139891
72,81,107.868582
72,82,62.026393
72,83,92.041007
72,94,220.345167
72,96,325.846169
72,99,551.944513
76,78,167.613377
76,79,227.522151
76,80,451.548243
76,81,367.889002
76,82,290.920644
76,83,228.385770
76,94,193.213979
76,96,157.373186
76,99,309.505004
78,79,67.727913
78,80,619.025501
78,81,534.810883
78,82,456.447661
78,83,390.593531
78,94,321.504857
78,96,215.936863
78,99,193.625824
79,80,675.765632
79,81,590.236950
79,82,510.186874
79,83,441.915381
79,94,358.377072
79,96,238.155810
79,99,138.719642
80,81,87.440529
80,82,169.677396
80,83,241.403563
80,94,363.951831
80,96,488.645062
80,99,724.485907
81,82,82.238861
81,83,153.965655
81,94,278.023934
81,96,401.405789
81,99,637.050051
82,83,71.759981
82,94,198.659383
82,96,319.536467
82,99,554.811273
83,94,131.001356
83,96,247.970087
83,99,483.127971
94,96,131.765908
94,99,371.195937
96,99,239.612767
