source_id,target_id,distance
0,1,86.924397
0,2,181.206457
0,3,258.026654
0,4,309.720562
0,5,405.510868
0,6,468.884685
0,7,546.793028
0,8,603.282678
0,9,700.009049
0,10,81.623310
0,11,114.266992
0,12,190.177428
0,13,250.935715
0,14,360.450411
0,15,393.177598
0,16,509.703106
0,17,574.077242
0,18,621.243449
0,19,689.813694
0,20,130.713289
0,21,168.443998
0,22,214.629688
0,23,297.302927
0,24,375.617714
0,25,439.375965
0,26,484.982033
0,27,587.799988
0,28,643.384563
0,29,718.111442
0,30,209.163499
0,31,241.734983
0,32,275.450715
0,33,330.359441
0,34,407.717913
0,35,457.360680
0,36,532.739498
0,37,593.843902
0,38,676.348999
0,39,751.756315
0,40,294.142047
0,41,322.375715
0,42,352.966102
0,43,390.805153
0,44,438.326491
0,45,502.762129
0,46,589.545676
0,47,647.215659
0,48,722.808161
0,49,778.314766
0,50,383.054551
0,51,358.843926
0,52,422.975059
0,53,481.303277
0,54,502.577302
0,55,562.848085
0,56,612.153143
0,57,665.575527
0,58,721.958205
0,59,804.157920
0,60,436.709726
0,61,438.500780
0,62,506.705265
0,63,506.235213
0,64,538.491498
0,65,618.874281
0,66,665.038080
0,67,747.704625
0,68,798.377794
0,69,864.638387
0,70,504.623197
0,71,540.305838
0,72,584.183625
0,73,580.340924
0,74,645.555190
0,75,683.987212
0,76,724.374753
0,77,796.871114
0,78,843.599419
0,79,910.761195
0,80,569.651079
0,81,598.000318
0,82,633.885700
0,83,674.314039
0,84,712.533373
0,85,753.091992
0,86,783.771714
0,87,862.327896
0,88,927.415645
0,89,958.780360
0,90,666.665787
0,91,660.524929
0,92,719.427773
0,93,735.096155
0,94,791.449076
0,95,802.199493
0,96,859.268514
0,97,923.765460
0,98,953.855239
0,99,1025.939937
1,2,94.637494
1,3,171.102591
1,4,222.812254
1,5,318.917958
1,6,381.960620
1,7,459.876595
1,8,516.360847
1,9,613.124368
1,10,87.393479
1,11,77.178793
1,12,112.516660
1,13,168.148853
1,14,276.343058
1,15,308.718363
1,16,424.382821
1,17,488.208568
1,18,534.646882
1,19,603.551532
1,20,136.626242
1,21,139.720864
1,22,155.265513
1,23,223.809933
1,24,295.658828
1,25,357.490622
1,26,402.599209
1,27,504.149646
1,28,558.653073
1,29,632.650701
1,30,212.131680
1,31,214.849096
1,32,221.444572
1,33,270.572844
1,34,334.946259
1,35,384.442292
1,36,453.436455
1,37,513.961828
1,38,593.671960
1,39,669.295171
1,40,289.178365
1,41,295.067661
1,42,309.446736
1,43,337.773530
1,44,373.495512
1,45,435.526048
1,46,514.403751
1,47,572.256376
1,48,644.588793
1,49,699.456880
1,50,385.670003
1,51,338.795588
1,52,389.656943
1,53,433.221700
1,54,445.977841
1,55,501.894027
1,56,544.337911
1,57,593.792762
1,58,647.305526
1,59,727.556206
1,60,431.987453
1,61,419.385363
1,62,475.254476
1,63,463.227509
1,64,488.474506
1,65,562.118971
1,66,602.009421
1,67,678.611726
1,68,729.337753
1,69,790.182980
1,70,499.946894
1,71,520.510139
1,72,554.374442
1,73,545.407441
1,74,599.643733
1,75,628.320590
1,76,666.734302
1,77,734.322500
1,78,776.134685
1,79,842.592316
1,80,567.791595
1,81,583.509623
1,82,608.732696
1,83,641.247924
1,84,668.731891
1,85,705.124681
1,86,727.113866
1,87,801.875720
1,88,863.669284
1,89,892.953056
1,90,663.996445
1,91,643.920940
1,92,694.252202
1,93,702.177598
1,94,751.184602
1,95,758.120973
1,96,808.308889
1,97,867.483235
1,98,892.595881
1,99,962.246245
2,3,78.019994
2,4,129.036882
2,5,227.612245
2,6,288.260027
2,7,366.403742
2,8,422.514449
2,9,519.871615
2,10,155.238244
2,11,116.535786
2,12,53.340141
2,13,80.230942
2,14,183.699181
2,15,215.503022
2,16,330.193299
2,17,393.684714
2,18,440.066838
