timestamp,node_id,node_addr,node_role,message
13.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 13.063173798031077} dest: [255,255] package type: PROBE"
13.122574,24,"[1,1]",ROOT,"Packet received at [1,1] from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 26, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 13.122461397170214} dest: [255,255] package type: PROBE"
13.122625,14,,UNDISCOVERED,"Packet received at None from [1,254]: {'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 24, 'role': <Roles.ROOT: 3>, 'addr': [1,1], 'ch_addr': [1,254], 'hop_count': 0, 'power_levels': 45, 'sent_time': 13.122573736323625} dest: [255,255] package type: HEART_BEAT"
13.122676,24,"[1,1]",ROOT,"Packet received at [1,1] from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 14, 'role': <Roles.UNREGISTERED: 2>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 13.122624631247412} dest: [255,255] package type: PROBE"
13.122686,26,,UNDISCOVERED,"Packet received at None from [1,254]: {'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 24, 'role': <Roles.ROOT: 3>, 'addr': [1,1], 'ch_addr': [1,254], 'hop_count': 0, 'power_levels': 45, 'sent_time': 13.122573736323625, 'arrival_time': 13.122624631247412, 'distance': 50.894923786651674} dest: [255,255] package type: HEART_BEAT"
13.122726,14,,UNREGISTERED,"Packet received at None from [1,254]: {'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 24, 'role': <Roles.ROOT: 3>, 'addr': [1,1], 'ch_addr': [1,254], 'hop_count': 0, 'power_levels': 45, 'sent_time': 13.122675526171198} dest: [255,255] package type: HEART_BEAT"
13.122788,26,,UNREGISTERED,"Packet received at None from [1,254]: {'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 24, 'role': <Roles.ROOT: 3>, 'addr': [1,1], 'ch_addr': [1,254], 'hop_count': 0, 'power_levels': 45, 'sent_time': 13.122675526171198, 'arrival_time': 13.122726421094985, 'distance': 50.894923786651674} dest: [255,255] package type: HEART_BEAT"
13.122798,24,"[1,1]",ROOT,"Packet received at [1,1] from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 26, 'role': <Roles.UNREGISTERED: 2>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 13.122686075477036} dest: [255,255] package type: PROBE"
13.122849,14,,UNREGISTERED,"Packet received at None from [1,254]: {'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 24, 'role': <Roles.ROOT: 3>, 'addr': [1,1], 'ch_addr': [1,254], 'hop_count': 0, 'power_levels': 45, 'sent_time': 13.122798414630447} dest: [255,255] package type: HEART_BEAT"
13.122911,26,,UNREGISTERED,"Packet received at None from [1,254]: {'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 24, 'role': <Roles.ROOT: 3>, 'addr': [1,1], 'ch_addr': [1,254], 'hop_count': 0, 'power_levels': 45, 'sent_time': 13.122798414630447, 'arrival_time': 13.122849309554233, 'distance': 50.894923786651674} dest: [255,255] package type: HEART_BEAT"
